"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 14 11:06:41 GMT 2022","Tue Jun 14 11:07:12 GMT 2022","31334","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-24 Test the password validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 11:03:42 GMT 2022","Tue Jun 14 11:04:06 GMT 2022","24786","webkit","mainPage.spec.ts","main page testing","","","TNP-11 Verify the 'See all products' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:07:37 GMT 2022","Wed Jun 15 10:08:01 GMT 2022","23931","chromium","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"broken","Tue Jun 14 11:01:42 GMT 2022","Tue Jun 14 11:02:14 GMT 2022","31974","webkit","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Wed Jun 15 10:05:48 GMT 2022","Wed Jun 15 10:06:02 GMT 2022","14066","chromium","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"passed","Tue Jun 14 10:53:30 GMT 2022","Tue Jun 14 10:53:53 GMT 2022","22837","firefox","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-30 Verify the Elastic SIP Trunking Pricing page",""
"broken","Tue Jun 14 10:56:56 GMT 2022","Tue Jun 14 10:57:26 GMT 2022","30738","firefox","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 11:05:34 GMT 2022","Tue Jun 14 11:06:06 GMT 2022","32010","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Wed Jun 15 10:08:01 GMT 2022","Wed Jun 15 10:08:26 GMT 2022","25218","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 11:03:06 GMT 2022","Tue Jun 14 11:03:23 GMT 2022","17069","webkit","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 11:00:42 GMT 2022","Tue Jun 14 11:00:48 GMT 2022","6471","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-34 Verify the Get the full price breakdown overlap is displayed",""
"passed","Tue Jun 14 10:53:53 GMT 2022","Tue Jun 14 10:53:59 GMT 2022","6059","firefox","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Wed Jun 15 10:08:02 GMT 2022","Wed Jun 15 10:08:16 GMT 2022","13879","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"broken","Tue Jun 14 11:00:49 GMT 2022","Tue Jun 14 11:01:41 GMT 2022","52720","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"passed","Tue Jun 14 11:01:46 GMT 2022","Tue Jun 14 11:02:04 GMT 2022","17447","webkit","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Tue Jun 14 11:05:14 GMT 2022","Tue Jun 14 11:05:39 GMT 2022","25088","webkit","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"passed","Wed Jun 15 10:07:15 GMT 2022","Wed Jun 15 10:07:36 GMT 2022","21262","chromium","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 10:59:15 GMT 2022","Tue Jun 14 10:59:27 GMT 2022","12111","firefox","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"failed","Tue Jun 14 11:07:45 GMT 2022","Tue Jun 14 11:08:03 GMT 2022","17488","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"passed","Wed Jun 15 10:05:36 GMT 2022","Wed Jun 15 10:05:48 GMT 2022","12378","chromium","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"passed","Tue Jun 14 10:55:51 GMT 2022","Tue Jun 14 10:56:17 GMT 2022","25884","firefox","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"broken","Tue Jun 14 11:01:15 GMT 2022","Tue Jun 14 11:01:46 GMT 2022","30246","webkit","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-30 Verify the Elastic SIP Trunking Pricing page",""
"passed","Wed Jun 15 10:05:03 GMT 2022","Wed Jun 15 10:05:12 GMT 2022","9301","chromium","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-30 Verify the Elastic SIP Trunking Pricing page",""
"broken","Tue Jun 14 11:06:12 GMT 2022","Tue Jun 14 11:06:44 GMT 2022","32183","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"broken","Tue Jun 14 11:02:04 GMT 2022","Tue Jun 14 11:02:38 GMT 2022","33988","webkit","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"broken","Tue Jun 14 10:58:12 GMT 2022","Tue Jun 14 10:58:52 GMT 2022","40335","firefox","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 10:56:47 GMT 2022","Tue Jun 14 10:57:17 GMT 2022","30014","firefox","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"passed","Wed Jun 15 10:05:21 GMT 2022","Wed Jun 15 10:05:36 GMT 2022","14991","chromium","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Tue Jun 14 11:00:29 GMT 2022","Tue Jun 14 11:00:42 GMT 2022","12597","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"passed","Wed Jun 15 10:05:37 GMT 2022","Wed Jun 15 10:05:50 GMT 2022","12459","chromium","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"passed","Wed Jun 15 10:08:16 GMT 2022","Wed Jun 15 10:08:31 GMT 2022","15084","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"broken","Tue Jun 14 10:55:03 GMT 2022","Tue Jun 14 10:55:50 GMT 2022","47493","firefox","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"passed","Wed Jun 15 10:07:36 GMT 2022","Wed Jun 15 10:08:02 GMT 2022","25732","chromium","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"passed","Tue Jun 14 10:59:49 GMT 2022","Tue Jun 14 11:00:07 GMT 2022","17848","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 11:03:33 GMT 2022","Tue Jun 14 11:04:00 GMT 2022","26955","webkit","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:02:30 GMT 2022","Tue Jun 14 11:02:46 GMT 2022","15887","webkit","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"passed","Tue Jun 14 10:59:27 GMT 2022","Tue Jun 14 10:59:49 GMT 2022","21872","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"broken","Tue Jun 14 11:06:08 GMT 2022","Tue Jun 14 11:06:40 GMT 2022","31886","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"passed","Wed Jun 15 10:06:34 GMT 2022","Wed Jun 15 10:06:57 GMT 2022","22634","chromium","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 11:03:00 GMT 2022","Tue Jun 14 11:03:32 GMT 2022","32062","webkit","mainPage.spec.ts","main page testing","","","TNP-08 Verify the 'Voice API' card works",""
"passed","Tue Jun 14 11:00:07 GMT 2022","Tue Jun 14 11:00:17 GMT 2022","10139","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"broken","Tue Jun 14 11:00:05 GMT 2022","Tue Jun 14 11:00:36 GMT 2022","31038","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 10:58:55 GMT 2022","Tue Jun 14 10:59:15 GMT 2022","20357","firefox","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"passed","Wed Jun 15 10:06:02 GMT 2022","Wed Jun 15 10:06:14 GMT 2022","12205","chromium","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"passed","Wed Jun 15 10:06:14 GMT 2022","Wed Jun 15 10:06:34 GMT 2022","19794","chromium","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 10:53:59 GMT 2022","Tue Jun 14 10:55:01 GMT 2022","62552","firefox","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"passed","Tue Jun 14 11:04:29 GMT 2022","Tue Jun 14 11:04:50 GMT 2022","20828","webkit","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:08:31 GMT 2022","Wed Jun 15 10:08:44 GMT 2022","13041","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-24 Test the password validation on the Sign Up page with incorrect data",""
"broken","Tue Jun 14 10:57:27 GMT 2022","Tue Jun 14 10:57:57 GMT 2022","30004","firefox","mainPage.spec.ts","main page testing","","","TNP-11 Verify the 'See all products' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 10:57:34 GMT 2022","Tue Jun 14 10:58:11 GMT 2022","36748","firefox","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 10:58:54 GMT 2022","Tue Jun 14 11:00:04 GMT 2022","69642","firefox","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:06:34 GMT 2022","Wed Jun 15 10:06:56 GMT 2022","22237","chromium","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 10:58:26 GMT 2022","Tue Jun 14 10:58:39 GMT 2022","13377","firefox","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:08:48 GMT 2022","Wed Jun 15 10:08:57 GMT 2022","8293","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-34 Verify the Get the full price breakdown overlap is displayed",""
"passed","Tue Jun 14 11:04:47 GMT 2022","Tue Jun 14 11:05:09 GMT 2022","22182","webkit","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:03:23 GMT 2022","Tue Jun 14 11:03:42 GMT 2022","18841","webkit","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"passed","Tue Jun 14 11:06:45 GMT 2022","Tue Jun 14 11:07:13 GMT 2022","28103","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"passed","Wed Jun 15 10:06:17 GMT 2022","Wed Jun 15 10:06:34 GMT 2022","17040","chromium","mainPage.spec.ts","main page testing","","","TNP-11 Verify the 'See all products' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:06:02 GMT 2022","Wed Jun 15 10:06:17 GMT 2022","15090","chromium","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 11:04:00 GMT 2022","Tue Jun 14 11:04:23 GMT 2022","22350","webkit","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 11:07:13 GMT 2022","Tue Jun 14 11:07:44 GMT 2022","31290","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-34 Verify the Get the full price breakdown overlap is displayed",""
"passed","Tue Jun 14 10:56:18 GMT 2022","Tue Jun 14 10:56:47 GMT 2022","29382","firefox","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 11:05:09 GMT 2022","Tue Jun 14 11:05:34 GMT 2022","25595","webkit","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"broken","Tue Jun 14 10:54:13 GMT 2022","Tue Jun 14 10:54:58 GMT 2022","45538","firefox","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Tue Jun 14 11:04:23 GMT 2022","Tue Jun 14 11:04:47 GMT 2022","23916","webkit","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:06:56 GMT 2022","Wed Jun 15 10:07:15 GMT 2022","18394","chromium","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:04:50 GMT 2022","Tue Jun 14 11:05:14 GMT 2022","23861","webkit","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 10:55:51 GMT 2022","Tue Jun 14 10:56:18 GMT 2022","26671","firefox","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"broken","Tue Jun 14 11:07:15 GMT 2022","Tue Jun 14 11:07:47 GMT 2022","31546","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"broken","Tue Jun 14 10:54:59 GMT 2022","Tue Jun 14 10:55:50 GMT 2022","51057","firefox","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"failed","Tue Jun 14 10:56:17 GMT 2022","Tue Jun 14 10:56:54 GMT 2022","37207","firefox","mainPage.spec.ts","main page testing","","","TNP-08 Verify the 'Voice API' card works",""
"passed","Tue Jun 14 11:02:15 GMT 2022","Tue Jun 14 11:02:30 GMT 2022","15192","webkit","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Wed Jun 15 10:08:26 GMT 2022","Wed Jun 15 10:08:37 GMT 2022","10608","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"broken","Tue Jun 14 11:05:39 GMT 2022","Tue Jun 14 11:06:11 GMT 2022","31913","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 10:58:08 GMT 2022","Tue Jun 14 10:58:26 GMT 2022","18006","firefox","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"failed","Tue Jun 14 11:02:46 GMT 2022","Tue Jun 14 11:03:05 GMT 2022","18425","webkit","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"passed","Tue Jun 14 11:04:06 GMT 2022","Tue Jun 14 11:04:29 GMT 2022","23138","webkit","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:00:48 GMT 2022","Tue Jun 14 11:01:02 GMT 2022","14233","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"passed","Wed Jun 15 10:08:54 GMT 2022","Wed Jun 15 10:09:01 GMT 2022","6974","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"passed","Tue Jun 14 11:00:17 GMT 2022","Tue Jun 14 11:00:29 GMT 2022","11909","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-24 Test the password validation on the Sign Up page with incorrect data",""
"passed","Wed Jun 15 10:05:03 GMT 2022","Wed Jun 15 10:05:21 GMT 2022","17701","chromium","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Wed Jun 15 10:06:57 GMT 2022","Wed Jun 15 10:07:18 GMT 2022","21027","chromium","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:07:18 GMT 2022","Wed Jun 15 10:07:37 GMT 2022","19029","chromium","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"passed","Wed Jun 15 10:05:50 GMT 2022","Wed Jun 15 10:06:02 GMT 2022","12478","chromium","mainPage.spec.ts","main page testing","","","TNP-08 Verify the 'Voice API' card works",""
"passed","Wed Jun 15 10:05:17 GMT 2022","Wed Jun 15 10:05:37 GMT 2022","20235","chromium","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"passed","Tue Jun 14 10:58:39 GMT 2022","Tue Jun 14 10:58:55 GMT 2022","15920","firefox","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:02:39 GMT 2022","Tue Jun 14 11:03:00 GMT 2022","21339","webkit","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"passed","Wed Jun 15 10:08:44 GMT 2022","Wed Jun 15 10:08:54 GMT 2022","10462","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"passed","Wed Jun 15 10:05:12 GMT 2022","Wed Jun 15 10:05:17 GMT 2022","4492","chromium","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Wed Jun 15 10:08:37 GMT 2022","Wed Jun 15 10:08:48 GMT 2022","11588","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
